CarID,Brand,Year,Engine Size,Fuel Type,Transmission,Mileage,Condition,Price,Model
1,Tesla,2003,0.0,Electric,Automatic,37574,New,12537.89,Model Y
2,BMW,2011,2.6,Diesel,Manual,22661,New,20108.47,5 Series
3,Hyundai,2010,2.9,Petrol,Automatic,126217,Used,6496.99,Tucson
4,BMW,2011,1.4,Petrol,Manual,70220,New,19366.05,X3
5,Chevrolet,2000,3.1,Diesel,Manual,52257,Used,3033.66,Equinox
6,Subaru,2005,1.7,Diesel,Automatic,99416,Used,4527.98,Crosstrek
7,Tesla,2014,0.0,Electric,Manual,137277,New,22278.55,Model X
8,Kia,2013,4.7,Diesel,Automatic,170668,Used,7229.82,Sportage
9,Subaru,2019,4.1,Diesel,Manual,161071,Used,14717.28,Outback
10,BMW,2010,1.9,Petrol,Automatic,91903,Used,13353.56,5 Series
11,Toyota,2010,4.4,Diesel,Automatic,163491,Used,5770.79,RAV4
12,Honda,2005,4.2,Petrol,Manual,10760,Used,6583.21,CR-V
13,Chevrolet,2021,4.4,Petrol,Manual,58631,New,22079.53,Equinox
14,Audi,2000,4.1,Petrol,Manual,172071,Used,2268.78,A4
15,Chevrolet,2018,1.5,Petrol,Automatic,146494,Used,14813.38,Impala
16,Honda,2019,2.2,Petrol,Automatic,82242,Used,19058.71,Fit
17,BMW,2012,4.0,Petrol,Automatic,137844,New,18525.45,3 Series
18,Audi,2004,2.4,Hybrid,Automatic,146822,Used,6101.95,Q5
19,Chevrolet,2016,2.0,Petrol,Automatic,99988,Used,14530.54,Equinox
20,Tesla,2006,0.0,Electric,Automatic,88961,Used,13659.03,Model S
21,Toyota,2016,4.3,Petrol,Automatic,55972,New,16682.12,RAV4
22,Hyundai,2023,1.6,Diesel,Automatic,126489,Used,22438.06,Elantra
23,Audi,2014,2.8,Hybrid,Manual,138100,Used,16413.62,Q5
24,Audi,2021,2.9,Petrol,Automatic,185690,Used,28359.97,Q7
25,Subaru,2003,2.9,Petrol,Automatic,126830,New,2610.34,Impreza
26,Audi,2000,4.1,Hybrid,Automatic,139011,Used,3527.34,Q5
27,Subaru,2012,2.2,Petrol,Manual,131008,Used,8477.46,Outback
28,Tesla,2015,0.0,Electric,Automatic,195254,New,26622.44,Model S
29,Tesla,2004,0.0,Electric,Automatic,136144,New,10933.25,Model Y
30,Honda,2010,4.7,Petrol,Automatic,175441,Used,5143.89,Accord
31,Hyundai,2018,1.5,Diesel,Automatic,20526,Used,15078.78,Sonata
32,Toyota,2008,1.2,Diesel,Automatic,123466,Used,5138.98,Prius
33,Toyota,2000,3.1,Hybrid,Automatic,199590,Used,1500,Corolla
34,Ford,2010,2.9,Hybrid,Manual,194216,Used,4262.39,Focus
35,Ford,2002,2.2,Petrol,Automatic,197864,Used,1500,Focus
36,BMW,2019,3.3,Hybrid,Automatic,72573,Used,28813.23,X3
37,Subaru,2018,4.0,Petrol,Automatic,66372,Used,17234.19,Outback
38,Honda,2006,1.7,Petrol,Automatic,158067,Used,2940.19,Civic
39,Tesla,2002,0.0,Electric,Automatic,129462,Used,7181.05,Model S
40,Toyota,2009,3.4,Petrol,Automatic,43940,Used,7954.15,RAV4
41,BMW,2020,3.5,Diesel,Automatic,83171,Used,31965.01,X3
42,Honda,2022,3.0,Diesel,Automatic,142976,Used,22808.71,Fit
43,Audi,2008,4.2,Petrol,Manual,66603,Used,10115.08,Q5
44,Audi,2018,2.4,Diesel,Automatic,57060,New,25531.69,Q7
45,Honda,2023,1.8,Petrol,Automatic,41972,Used,24000.12,Fit
46,BMW,2018,4.3,Hybrid,Automatic,127270,Used,28925.65,X5
47,Audi,2022,3.0,Petrol,Automatic,111503,Used,28852.57,A3
48,Chevrolet,2011,2.9,Hybrid,Automatic,98341,Used,7653.31,Malibu
49,Tesla,2012,0.0,Electric,Automatic,118785,Used,18619.62,Model S
50,Subaru,2016,4.7,Diesel,Manual,138122,Used,11553.41,Impreza
51,Chevrolet,2023,3.2,Hybrid,Automatic,75706,Used,23252.25,Impala
52,Chevrolet,2021,3.3,Diesel,Automatic,68816,Used,21009.91,Tahoe
53,Honda,2012,4.2,Petrol,Manual,44651,Used,10059.52,Civic
54,Chevrolet,2015,3.2,Hybrid,Automatic,62786,Used,14096.1,Equinox
55,BMW,2006,4.8,Petrol,Automatic,155349,Used,8351.74,X5
56,Hyundai,2002,4.0,Diesel,Automatic,175072,Used,1500,Elantra
57,Ford,2017,2.5,Hybrid,Automatic,76601,Used,14905.31,Focus
58,Tesla,2009,0.0,Electric,Manual,169859,Used,13206.26,Model S
59,Chevrolet,2004,2.7,Hybrid,Manual,59242,Used,4207.35,Tahoe
60,BMW,2001,2.5,Hybrid,Manual,162184,New,3655.26,5 Series
61,Tesla,2013,0.0,Electric,Automatic,24893,New,24202.48,Model S
62,Hyundai,2010,3.9,Petrol,Automatic,145031,Used,5427.6,Elantra
63,Toyota,2012,4.7,Hybrid,Automatic,135214,Used,7603.39,Corolla
64,Honda,2017,2.5,Hybrid,Automatic,134636,Used,13727.86,Fit
65,Chevrolet,2019,2.5,Petrol,Automatic,109113,Used,14792.27,Malibu
66,Chevrolet,2022,1.6,Petrol,Manual,82645,Used,23776.6,Impala
67,BMW,2003,3.1,Petrol,Automatic,51115,Used,9369.7,X5
68,Kia,2001,4.5,Petrol,Automatic,182593,New,1500,Sorento
69,Honda,2013,3.4,Diesel,Automatic,132638,Used,8391.21,Accord
70,BMW,2014,2.1,Petrol,Automatic,70742,Used,22282.25,5 Series
71,Subaru,2023,4.1,Hybrid,Automatic,134973,Used,19004.39,Forester
72,Toyota,2023,3.4,Hybrid,Automatic,76298,Used,26345.24,Prius
73,Audi,2009,4.4,Petrol,Automatic,184770,Used,7896.51,A3
74,Kia,2012,2.7,Hybrid,Manual,107556,Used,7242.44,Sorento
