Humidity,Temperature,Step count,Stress Level
18.68,88.11,111,1
22.67,92.07,138,1
29.07,98.16,140,2
11.96,80.63,29,0
14.4,83.06,13,0
27.23,96.23,160,2
12.26,81.18,9,0
27.22,96.08,184,2
28.89,97.74,173,2
17.69,87.04,114,1
25.19,94.33,155,2
14.48,83.75,26,0
19.8,89.28,107,1
15.34,84.51,16,0
26.36,95.71,167,2
21.62,90.68,111,1
17.47,86.42,91,1
20.83,90.19,109,1
10.91,79.88,60,0
16.35,84.91,59,0
22.11,91.56,77,1
29.38,98.06,182,2
24.62,93.92,155,2
26.91,96.08,195,2
11.82,80.64,56,0
24.55,93.99,196,2
20.2,88.74,105,1
19.77,88.61,130,1
18.6,87.74,80,1
27.71,96.59,141,2
29.65,98.42,146,2
21.63,90.94,119,1
28.89,97.72,144,2
27.61,96.34,153,2
22.22,91.0,99,1
14.51,83.72,61,0
22.43,91.2,129,1
14.44,83.35,59,0
28.2,96.89,183,2
23.08,92.35,127,1
21.53,90.29,130,1
19.74,88.53,127,1
16.67,86.0,50,0
13.46,82.86,18,0
24.15,93.0,150,2
14.38,83.62,51,0
21.31,89.92,86,1
20.21,89.14,122,1
15.39,84.41,20,0
12.83,82.12,37,0
23.77,92.71,123,1
16.74,86.0,57,0
12.79,81.55,54,0
23.49,92.14,76,1
29.17,97.8,164,2
10.74,79.64,49,0
11.34,80.52,10,0
24.02,93.0,143,2
28.46,96.97,172,2
22.29,91.37,136,1
23.59,92.4,123,1
14.52,83.41,45,0
28.59,97.45,142,2
19.41,88.41,113,1
23.95,93.0,99,1
23.45,92.11,71,1
29.64,98.96,197,2
29.07,97.67,150,2
27.9,96.65,199,2
11.81,80.4,53,0
24.41,93.1,147,2
28.85,97.86,144,2
12.07,80.85,10,0
15.81,84.83,68,0
17.67,86.48,78,1
27.86,97.26,141,2
12.14,81.25,49,0
26.51,95.14,163,2
19.0,88.35,111,1
15.41,84.07,57,0
22.89,92.04,88,1
10.7,80.2,69,0
24.4,93.65,153,2
29.87,98.52,156,2
19.16,88.26,115,1
18.81,88.13,111,1
28.61,97.34,171,2
15.9,84.45,4,0
18.66,88.02,124,1
19.73,88.78,97,1
24.83,94.25,151,2
23.95,92.46,75,1
15.05,84.29,19,0
11.49,80.65,0,0
19.1,88.22,114,1
17.69,86.95,98,1
29.73,98.38,154,2
24.75,93.79,165,2
19.02,87.81,103,1
16.8,85.65,6,0
28.01,97.24,189,2
23.17,92.41,126,1
11.05,80.01,7,0
14.61,83.66,19,0
19.28,87.89,129,1
18.96,87.97,127,1
22.66,91.51,95,1
19.61,88.64,128,1
20.44,89.53,79,1
15.43,84.03,32,0
27.22,96.16,174,2
20.04,89.31,108,1
14.03,82.91,4,0
22.49,91.69,83,1
12.25,81.24,28,0
10.03,79.0,9,0
10.91,79.56,23,0
17.83,86.49,102,1
15.03,83.65,43,0
17.63,86.8,79,1
22.36,91.47,125,1
21.14,89.73,116,1
13.95,82.76,2,0
27.62,96.39,183,2
17.29,86.0,112,1
19.09,87.6,104,1
